None,mdate,open_d,high_d,low_d,close_d,volume
144,2020-08-10,427.5,437.5,427.5,435.5,36067.5
145,2020-08-11,432.0,435.0,429.0,429.0,34545.313
146,2020-08-12,422.0,423.5,419.0,419.0,53980.474
147,2020-08-13,428.0,429.0,424.5,429.0,45669.335
148,2020-08-14,424.0,428.0,423.0,427.0,24259.947
149,2020-08-17,427.0,435.0,425.5,435.0,34607.731
150,2020-08-18,440.0,440.5,432.0,433.0,45504.16
151,2020-08-19,436.0,436.5,427.5,427.5,31486.8
152,2020-08-20,427.0,427.5,401.0,415.0,75155.235
153,2020-08-21,421.5,427.0,420.0,424.5,41956.467
154,2020-08-24,427.5,434.5,425.0,428.0,49199.406
155,2020-08-25,433.5,436.0,430.5,434.5,37024.899
156,2020-08-26,435.5,442.0,435.0,442.0,41406.34
157,2020-08-27,448.0,453.5,444.0,444.0,57206.712
158,2020-08-28,440.0,440.5,431.0,435.0,57039.21
159,2020-08-31,437.0,439.5,426.5,426.5,88569.538
160,2020-09-01,430.0,435.0,428.0,435.0,50129.577
161,2020-09-02,441.0,441.0,430.5,433.0,42013.407
162,2020-09-03,439.5,439.5,433.5,436.0,40683.617
163,2020-09-04,427.0,432.5,427.0,429.0,51349.911
164,2020-09-07,428.0,432.5,425.0,426.0,39854.584
165,2020-09-08,428.0,433.0,427.5,431.0,23714.67
166,2020-09-09,425.0,428.0,423.0,427.0,40727.362
167,2020-09-10,432.5,435.0,430.5,435.0,35281.921
168,2020-09-11,435.5,436.5,432.5,436.5,34893.469
169,2020-09-14,436.0,442.0,435.5,441.0,39325.833
170,2020-09-15,440.5,447.0,439.5,445.0,39661.449
171,2020-09-16,460.0,462.0,455.5,458.0,70608.238
172,2020-09-17,453.0,455.0,446.5,448.5,44420.506
173,2020-09-18,447.0,449.5,443.0,444.0,52999.922
174,2020-09-21,443.5,450.0,440.0,440.0,40193.92
175,2020-09-22,440.0,441.0,436.0,437.0,36842.639
176,2020-09-23,436.0,438.5,432.0,433.5,47426.963
177,2020-09-24,425.5,429.0,423.0,423.0,82510.381
178,2020-09-25,427.0,428.0,421.0,424.0,41263.269
179,2020-09-28,427.0,431.5,424.5,431.5,34427.479
180,2020-09-29,432.5,435.0,428.0,431.0,42730.502
181,2020-09-30,430.5,435.0,430.5,433.0,28859.204
182,2020-10-05,438.0,438.0,431.5,432.5,33238.832
183,2020-10-06,441.5,442.0,437.5,439.5,36276.395
184,2020-10-07,435.0,445.0,435.0,443.0,44691.239
185,2020-10-08,450.0,454.0,448.5,453.0,60853.811
186,2020-10-12,458.0,462.0,457.5,460.0,67645.223
187,2020-10-13,465.0,465.0,456.5,462.0,46303.738
188,2020-10-14,460.5,461.0,457.0,459.0,52677.241
189,2020-10-15,456.0,456.5,450.0,453.0,49987.278
190,2020-10-16,451.0,456.0,448.5,449.0,48274.801
191,2020-10-19,453.0,457.5,451.0,457.5,34846.906
192,2020-10-20,455.5,457.0,451.0,451.0,26567.638
193,2020-10-21,453.5,456.0,451.0,453.0,29906.921
194,2020-10-22,450.0,455.0,449.5,455.0,25285.547
195,2020-10-23,458.0,458.0,451.5,452.0,18777.385
196,2020-10-26,455.0,455.0,450.0,450.0,15800.622
197,2020-10-27,447.5,448.5,445.5,447.0,31795.01
198,2020-10-28,445.0,447.0,443.0,444.0,26221.663
199,2020-10-29,436.5,439.5,435.5,437.0,43075.387
200,2020-10-30,437.0,437.0,432.0,432.0,49770.771
201,2020-11-02,433.0,435.5,428.0,435.5,34539.576
202,2020-11-03,439.5,443.0,438.0,441.0,31461.727
203,2020-11-04,444.5,451.5,443.0,450.0,37929.652
204,2020-11-05,451.5,451.5,445.5,451.0,36539.446
205,2020-11-06,455.0,455.5,450.0,452.5,32644.19
206,2020-11-09,458.0,460.0,454.0,458.5,43415.67
207,2020-11-10,452.0,454.5,448.5,451.0,36786.882
208,2020-11-11,448.5,457.0,448.5,457.0,40355.804
209,2020-11-12,463.0,463.5,457.5,458.0,57993.774
210,2020-11-13,459.0,462.0,456.5,462.0,31483.881
211,2020-11-16,470.0,484.5,469.0,484.0,83380.911
212,2020-11-17,502.0,506.0,485.5,485.5,75763.87
213,2020-11-18,490.0,497.0,486.5,497.0,56607.501
214,2020-11-19,499.0,499.0,490.0,490.0,47345.316
215,2020-11-20,486.0,490.0,486.0,488.0,35242.579
216,2020-11-23,494.5,498.5,492.0,496.5,43708.352
